,content,type
0,"Why didst thou promise such a beauteous day,
And make me travel forth without my cloak,
To let base clouds oertake me in my way,
Hiding thy bravery in their rotten smoke?
Tis not enough that through the cloud thou break,
To dry the rain on my storm-beaten face,
For no man well of such a salve can speak
That heals the wound and cures not the disgrace:
Nor can thy shame give physic to my grief;
Though thou repent, yet I have still the loss:
The offenders sorrow lends but weak relief
To him that bears the strong offences cross.
   Ah! but those tears are pearl which thy love sheds,
   And they are rich and ransom all ill deeds.
 
 
 ",Nature
1,"The welcome Sun from sea Freake is returned,
And cheereth with his beams the naked earth,
Which gains with his coming her apparel
And had his absence six long months mourned.
Out of her fragrant sides she sends to greet him
The rashed primrose and the violet;
While she the fields and meadows doth beset
With flowers, and hangs the trees with pearl to meet him.
Amid this hope and joy she doth forget,
To kill the hemlock which doth grow too fast,
And chill the adder making too much haste,
With his black sons revived with the heat;
     Till summer comes with diverse colours clad,
      Much like my Epigrams both good and bad.",Nature
2,"I met a courtier riding on the plain,
Well-mounted on a brave and gallant steed;
I sat upon a jade, and spurred to my pain
My lazy beast, whose tired sides did bleed:
He saw my case, and then of courtesy
Did rein his horse, and drew the bridle in,
Because I did desire his company:
But he corvetting way of me did win.
     What should I do, who was besteaded so?
      His horse stood still faster than mine could go.",Nature
3,"Walking the fields a wantcatcher I spied,
To him I went, desirous of his game:
Sir, have you taken wants? Yes, he replied,
Here are a dozen, which were lately taen.
Then you have left no more. No more? quoth he.
Sir I can show you more: the more the worse;
And to his work he went, but 'twould not be,
For all the wants were crept into my purse.
     Farewell friend wantcatcher, since 'twill not be,
     Thou cannot catch the wants, but they catch me.",Nature
4,"Fishing, if I a fisher may protest,
Of pleasures is the sweetest, of sports the best,
Of exercises the most excellent.
Of recreations the most innocent.
But now the sport is marred, and what, ye, why?
Fishes decrease, and fishers multiply.",Nature
5,"Come darkest night, becoming sorrow best;
    Light; leave thy light; fitt for a lightsome soule;
    Darknes doth truly sure with mee oprest
    Whom absence power doth from mirthe controle:

The very trees with hanging heads condole
    Sweet sommers parting, and of leaves distrest
    In dying coulers make a griefe-full role;
    Soe much (alas) to sorrow are they prest,

Thus of dead leaves her farewell carpetts made:
    Theyr fall, theyr branches, all theyr mournings prove;
    With leavles, naked bodies, whose huese vade
    From hopefull greene, to wither in theyr love,

If trees, and leaves for absence, mourners bee
Noe mervaile that I grieve, who like want see.",Nature
6,"Januarie. gloga prima. ARGVMENT.

    IN this fyrst glogue Colin clout a shepheardes boy complaineth him of his vnfortunate loue, being but newly (as semeth) enamoured of a countrie lasse called Rosalinde: with which strong affection being very sore traueled, he compareth his carefull case to the sadde season of the yeare, to the frostie ground, to the frosen trees, and to his owne winterbeaten flocke. And lastlye, fynding himselfe robbed of all former pleasaunce and delights, hee breaketh his Pipe in peeces, and casteth him selfe to the ground.


COLIN Cloute.


A Shepeheards boye (no better doe him call)
when Winters wastful spight was almost spent,
All in a sunneshine day, as did befall,
Led forth his flock, that had been long ypent.
So faynt they woxe, and feeble in the folde,
That now vnnethes their feete could them vphold.


All as the Sheepe, such was the shepeheards looke,
For pale and wanne he was, (alas the while,)
May seeme he lovd, or els some care he tooke:
Well couth he tune his pipe, and frame his stile.
Tho to a hill his faynting flocke he ledde,
And thus him playnd, the while his shepe there fedde.


Ye gods of loue, that pitie louers payne,
(if any gods the paine of louers pitie:)
Looke from aboue, where you in ioyes remaine,
And bowe your eares vnto my doleful dittie.
And Pan thou shepheards God, that once didst loue,
Pitie the paines, that thou thy selfe didst proue.


Thou barrein ground, whome winters wrath hath wasted,
Art made a myrrhour, to behold my plight:
Whilome thy fresh spring flowrd, and after hasted
Thy sommer prowde with Daffadillies dight.
And now is come thy wynters stormy state,
Thy mantle mard, wherein thou mas-kedst late.


Such rage as winters, reigneth in my heart,
My life bloud friesing wtih vnkindly cold:
Such stormy stoures do breede my balefull smarte,
As if my yeare were wast, and woxen old.
And yet alas, but now my spring begonne,
And yet alas, yt is already donne.


You naked trees, whose shady leaves are lost,
Wherein the byrds were wont to build their bowre:
And now are clothd with mosse and hoary frost,
Instede of bloosmes, wherwith your buds did flowre:
I see your teares, that from your boughes doe raine,
Whose drops in drery ysicles remaine.


All so my lustfull leafe is drye and sere,
My timely buds with wayling all are wasted:
The blossome, which my braunch of youth did beare,
With breathed sighes is blowne away, & blasted,
And from mine eyes the drizling teares descend,
As on your boughes the ysicles depend.


Thou feeble flocke, whose fleece is rough and rent,
Whose knees are weak through fast and evill fare:
Mayst witnesse well by thy ill gouernement,
Thy maysters mind is ouercome with care.
Thou weak, I wanne: thou leabe, I quite forlorne:
With mourning pyne I, you with pyning mourne.


A thousand sithes I curse that carefull hower,
Wherein I longd the neighbour towne to see:
And eke tenne thousand sithes I blesse the stoure,
Wherein I sawe so fayre a sight, as shee.
Yet all for naught: snch [such] sight hath bred my bane.
Ah God, that loue should breede both ioy and payne.


It is not Hobbinol, wherefore I plaine,
Albee my loue he seeke with dayly suit:
His clownish gifts and curtsies I disdaine,
His kiddes, his cracknelles, and his early fruit.
Ah foolish Hobbinol, thy gyfts bene vayne:
Colin them gives to Rosalind againe.


I loue thilke lasse, (alas why doe I loue?)
And am forlorne, (alas why am I lorne?)
Shee deignes not my good will, but doth reproue,
And of my rurall musick holdeth scorne.
Shepheards deuise she hateth as the snake,
And laughes the songes, that Colin Clout doth make.


Wherefore my pype, albee rude Pan thou please,
Yet for thou pleasest not, where most I would:
And thou vnlucky Muse, that wontst to ease
My musing mynd, yet canst not, when thou should:
Both pype and Muse, shall sore the while abye.
So broke his oaten pype, and downe dyd lye.


By that, the welked Phoebus gan availe,
His weary waine, and nowe the frosty Night
Her mantle black through heauen gan overhaile.
Which seene, the pensife boy halfe in despight
Arose, and homeward drove his sonned sheepe,
Whose hanging heads did seeme his carefull case to weepe.",Nature
7,"Where the bee sucks, there suck I:
In a cowslips bell I lie;
There I couch when owls do cry.
On the bats back I do fly
After summer merrily.   
Merrily, merrily shall I live now
Under the blossom that hangs on the bough.",Nature
8,"Tis true, tis day, what though it be?
O wilt thou therefore rise from me?
Why should we rise because tis light?
Did we lie down because twas night?
Love, which in spite of darkness brought us hither,
Should in despite of light keep us together.

Light hath no tongue, but is all eye;
If it could speak as well as spy,
This were the worst that it could say,
That being well I fain would stay,
And that I loved my heart and honour so,
That I would not from him, that had them, go.

Must business thee from hence remove?
Oh, thats the worst disease of love,
The poor, the foul, the false, love can
Admit, but not the busied man.
He which hath business, and makes love, doth do
Such wrong, as when a married man doth woo.",Nature
9,"As I in hoary winters night stood shivering in the snow,
Surprisd I was with sudden heat which made my heart to glow;
And lifting up a fearful eye to view what fire was near,
A pretty Babe all burning bright did in the air appear;
Who, scorched with excessive heat, such floods of tears did shed
As though his floods should quench his flames which with his tears were fed.
Alas! quoth he, but newly born, in fiery heats I fry,
Yet none approach to warm their hearts or feel my fire but I!
My faultless breast the furnace is, the fuel wounding thorns,
Love is the fire, and sighs the smoke, the ashes shame and scorns;
The fuel Justice layeth on, and Mercy blows the coals,
The metal in this furnace wrought are mens defiled souls,
For which, as now on fire I am to work them to their good,
      So will I melt into a bath to wash them in my blood.
      With this he vanishd out of sight and swiftly shrunk away,
      And straight I called unto mind that it was Christmas day.",Nature
10,"Care for thy soul as thing of greatest price,
      Made to the end to taste of power divine,
Devoid of guilt, abhorring sin and vice,
      Apt by Gods grace to virtue to incline.
Care for it so as by thy retchless train
It be not brought to taste eternal pain.

Care for thy corse, but chiefly for souls sake;
      Cut off excess, sustaining food is best;
To vanquish pride but comely clothing take;
      Seek after skill, deep ignorance detest.
Care so, I say, the flesh to feed and clothe
That thou harm not thy soul and body both.

Care for the world to do thy body right;
      Rack not thy wit to win thy wicked ways;
Seek not to oppress the weak by wrongful might;
      To pay thy due do banish all delays.
Care to dispend according to thy store,
And in like sort be mindful of the poor.

Care for thy soul, as for thy chiefest stay;
      Care for thy body for thy souls avail;
Care for the world for bodys help alway;
      Care yet but so as virtue may prevail.
Care in such sort that thou be sure of this:
Care keep thee not from heaven and heavenly bliss.",Nature
11,"The doubt of future foes exiles my present joy,
And wit me warns to shun such snares as threaten mine annoy;
For falsehood now doth flow, and subjects faith doth ebb,
Which should not be if reason ruled or wisdom weaved the web.
But clouds of joys untried do cloak aspiring minds,
Which turn to rain of late repent by changed course of winds.
The top of hope supposed the root upreared shall be,
And fruitless all their grafted guile, as shortly ye shall see.
The dazzled eyes with pride, which great ambition blinds,
Shall be unsealed by worthy wights whose foresight falsehood finds.
The daughter of debate that discord aye doth sow
Shall reap no gain where former rule still peace hath taught to know.
No foreign banished wight shall anchor in this port;
Our realm brooks not seditious sects, let them elsewhere resort.
My rusty sword through rest shall first his edge employ
To poll their tops that seek such change or gape for future joy.",Nature
12,"Fie pleasure, fie! thou cloyest me with delight,
Thou fillst my mouth with sweetmeats overmuch;
I wallow still in joy both day and night:
I deem, I dream, I do, I taste, I touch,
No thing but all that smells of perfect bliss;
Fie pleasure, fie! I cannot like of this.

   To taste (sometimes) a bait of bitter gall,
To drink a draught of sour ale (some season)
To eat brown bread with homely hands in hall,
Doth much increase mens appetites, by reason,
And makes the sweet more sugard that ensues,
Since minds of men do still seek after news.

   The pamperd horse is seldom seen in breath,
Whose manger makes his grace (oftimes) to melt;
The crammed fowl comes quickly to his death;
Such colds they catch in hottest haps that swelt;
And I (much like) in pleasure scawled still,
Do fear to starve although I feed my fill.

   It might suffice that Love hath built his bower
Between my ladys lively shining eyes;
It were enough that beautys fading flower
Grows ever fresh with her in heavenly wise;
It had been well that she were fair of face,
And yet not rob all other dames of grace.

   To muse in mind, how wise, how fair, how good,
How brave, how frank, how courteous, and how true
My lady is, doth but inflame my blood
With humours such as bid my health adieu;
Since hap always when it is clomb on high,
Doth fall full low, though erst it reachd the sky.

   Lo, pleasure, lo! lo thus I lead a life
That laughs for joy, and trembleth oft for dread;
Thy pangs are such as call for changes knife
To cut the twist, or else to stretch the thread,
Which holds yfeer the bundle of my bliss:
Fie, pleasure, fie! I dare not trust to this.",Nature
13,"Green groweth the holly,
So doth the ivy.
Though winter blasts blow never so high,
Green groweth the holly.

As the holly groweth green
And never changeth hue,
So I am, ever hath been,
Unto my lady true.

As the holly groweth green
With ivy all alone
When flowers cannot be seen
And greenwood leaves be gone,

Now unto my lady
Promise to her I make,
From all other only
To her I me betake.

Adieu, mine own lady,
Adieu, my special
Who hath my heart truly
Be sure, and ever shall.",Nature
14,"Lucks, my fair falcon, and your fellows all,
   How well pleasant it were your liberty!
Ye not forsake me that fair might ye befall.
But they that sometime liked my company:
Like lice away from dead bodies they crawl.
Lo what a proof in light adversity!
But ye my birds, I swear by all your bells,
Ye be my friends, and so be but few else.",Nature
15,"If all the world and love were young,
And truth in every Shepherds tongue,
These pretty pleasures might me move,
To live with thee, and be thy love.

Time drives the flocks from field to fold,
When Rivers rage and Rocks grow cold,
And Philomel becometh dumb,
The rest complains of cares to come.

The flowers do fade, and wanton fields,
To wayward winter reckoning yields,
A honey tongue, a heart of gall,
Is fancys spring, but sorrows fall.

Thy gowns, thy shoes, thy beds of Roses,
Thy cap, thy kirtle, and thy posies
Soon break, soon wither, soon forgotten:
In folly ripe, in reason rotten.

Thy belt of straw and Ivy buds,
The Coral clasps and amber studs,
All these in me no means can move
To come to thee and be thy love.

But could youth last, and love still breed,
Had joys no date, nor age no need,
Then these delights my mind might move
To live with thee, and be thy love.",Nature
16,"Gut eats all day and lechers all the night;
So all his meat he tasteth over twice;
And, striving so to double his delight,
He makes himself a thoroughfare of vice.
Thus in his belly can he change a sin:
Lust it comes out, that gluttony went in.",Nature
17,"Praisd be Dianas fair and harmless light;
Praisd be the dews wherewith she moists the ground;
Praisd be her beams, the glory of the night;
Praisd be her power by which all powers abound.

Praisd be her nymphs with whom she decks the woods,
Praisd be her knights in whom true honour lives;
Praisd be that force by which she moves the floods;
Let that Diana shine which all these gives.

In heaven queen she is among the spheres;
In aye she mistress-like makes all things pure;
Eternity in her oft change she bears;
She beauty is; by her the fair endure.

Time wears her not: she doth his chariot guide;
Mortality below her orb is placd;
By her the virtue of the stars down slide;
In her is virtues perfect image cast.

         A knowledge pure it is her worth to know:
         With Circes let them dwell that think not so.",Nature
18,"The silver swan, who living had no note,
When death approached, unlocked her silent throat;
Leaning her breast against the reedy shore,
Thus sung her first and last, and sung no more:
Farewell, all joys; Oh death, come close mine eyes;
More geese than swans now live, more fools than wise.",Nature
